Date,W/L,Race,Opponent,MMR,Map,Opponent's Strat,Mistakes/Improvement,Notes,Tags
2/18/18,L,T,<PSISTC>Cerdoken,4425,Acid Plant,Hellion -> BioTank,"No Overlord @36, no spores, poor drop management",,BioTank
2/18/18,W,Z,<Idiot>Jinius,4178,Blackpink,HGP LingFlood,Not enough anchor banes,Ling counterattack destroyed opponent's natural,HGP LingFlood
2/18/18,W,P,<KIdiot>Joker,4228,Catalyst,Cannon Rush,"Killed own zergling, didn't spot cannon rush",,Therapy CannonRush
2/18/18,W,Z,<Exnt>Anthony,4363,Blackpink,LingBane -> RoachRavager,"no macro while attacking, Late gas, Lots of supply blocks","Denied 3rd, roach followup",HGP
2/18/18,W,T,Spider,4246,Acid Plant,211,Didn't drone hard enough,"Killed full dropship with queens, good scouting for medivacs",211
2/18/18,W,Z,StarFiend,4387,Catalyst,HGP -> LingFlood,"Extra drone before pool, roaches out of position",wall nat when lingflood counter hits,HGP LingFlood
2/19/18,W,T,<ConFed>Knack,4147,Catalyst,211 -> BioTank,"Inefficient engages, not enough banes, ultras trapped",,211 BioTank
2/19/18,L,Z,INFESTER,4270,Acid Plant,15Hatch,no scout/adjustment,cancel 3rd for wall/spines?,15Hatch
2/19/18,L,P,<xNtG>Aeon,4580,Catalyst,"Stargate, ShieldBattery","Thick wall, pylon blocked zergling pathing","Evo not worth extra lings, don't force lings against wall",Therapy
2/20/18,W,T,<MSFT>DOJ,4474,Blackpink,Hellions -> HellbatTankThor,"Poor spending, need earlier 4th for gas","Good viper count, queen support. Ultras work well for isolated tanks",Mech
2/20/18,W,T,<PSISTC>Cerdoken,4536,Backwater,HellionBanshee -> BioTank,"SupplyBlock@90, late Lair, poor spending, low drone count","Relatively good engage against siege line, triple viper pull on escaping medivac",39DroneRoach BioTank
2/20/18,L,Z,<Allin>DNA,4639,Blackpink,13/12 -> 1/0 Roach Push,"Supply Blocks while droning, early evo lost mining time",Held 13/12,13/12
2/20/18,W,T,<Frnzy>EightBall,4191,Blackpink,211,No defenses back home - too much droning,Crazy game,39DroneRoach 211
2/20/18,W,Z,VIPER,4501,Catalyst,GPH + Spine,"SupplyBlock@36, @50, @58",Late gas from opponent ??? What was this build,GPH
2/21/18,W,P,anarchy,4345,Blackpink,"Gateway expand -> VoidRay, ShieldBattery",,Overinvested in Shield Batteries,Therapy
2/21/18,W,P,<SCVODS>Swunder,4387,Acid Plant,PylonBlock,,"Scouted by Probe, ProxyHatch",ProxyHatch
2/21/18,L,T,IIIIIIII,4534,Acid Plant,Reaper -> Factory,,,
2/21/18,L,Z,draakus,4243,Backwater,RoachHydraLurker,"AntiTiming with 1/1 Roaches, no speed, died running away",,RoachHydraLurker
2/21/18,W,Z,Jardz,4203,Backwater,13/12 w/banes,"Late bane nest, 2nd queen",used 15Hatch,15Hatch 13/12
2/21/18,L,Z,<NPhase>GSC,4562,Backwater,HGP,SupplyBlock@36,used 15Hatch,15Hatch
2/21/18,W,T,<LimaSC>Akatsukipapu,5027,Blackpink,Hellions,Not enough ravagers?,,39DroneRoach
2/22/18,L,P,<FoTG>TAS,4239,Catalyst,,Built Evo Chamber first,,ProxyHatch
2/22/18,L,Z,Stride,4645,Blackpink,HGP -> 13 Workers ling flood,"Not enough banes, later speed",,HGP
2/22/18,L,Z,Box,4502,Acid Plant,HGP,"didn't drone hard enough, attacked at anti-timing (1/0 vs 1/1)",,
2/22/18,L,T,<zeez>Grobnik,4508,Acid Plant,Hellion Raven BioTank,Engaged off creep into choke,,BioTank Raven
2/22/18,W,T,David,4283,Blackpink,BioTank,"Better splits against multiprong, not enough banes for initial attack",Ultras trapped behind evo chambers @ natural,BioTank
2/23/18,L,Z,<SttE>iDrone,4810,Catalyst,20 drones -> Lings (no banes),"more banes, too much gas",Pool first opening,
2/23/18,W,P,<Fr33ze>BLISSMODE,4406,Catalyst,Pylon block,,Proxy Hatch,ProxyHatch
2/23/18,L,T,<xRS>Adja,4711,Acid Plant,BioTank,"overwrote hotkeys, late vipers, no counterattacks",,BioTank
2/23/18,L,Z,<|Next|>Idra,4437,Catalyst, 13/12 w/spine,slow retreating hydras bottlenecked roaches,,
2/24/18,L,T,StromLife,4308,Blackpink,Hellions -> Thor drop,"not enough defense for hellion runbys, no scouting thor drop",,Hellion ThorDrop
2/24/18,W,Z,Donmoeca,4548,Acid Plant,LingBane -> Muta,Didn't scout muta switch,,LingBane Muta
2/25/18,W,T,<TruckU>FMage,4693,Acid Plant,No Reaper -> HellionCyclone,,,39DroneRoach
2/25/18,L,T,RebelCincy,4421,Acid Plant,BioTank,"Vipers out of position, ran into army",,BioTank
2/25/18,L,T,Mime,4325,Blackpink,BattleMech,Late Hive/vipers for Seige Tank attack,,BattleMech Mech
2/25/18,W,T,HateNate,???,Blackpink,Left Game,,,LeftGame
2/25/18,W,P,PROTOSSHUNTR,4266,Blackpink,AFK,,,AFK LeftGame
2/25/18,W,Z,<vG0D>FinalChapter,4559,Acid Plant,LingBane,"Speed later, better drone splits",Good multiprong with banes,LingBane
2/25/18,W,P,Beepems,4426,Catalyst,"Oracle, Adept, ShieldBattery",lost Ravagers to oracle,Brought spore crawler,ProxyHatch
2/25/18,L,Z,Hiccup,4506,Blackpink,13/12 gasless,"Not enough banes, didn't redrone","good trades, not enough units, canceled hatch set you behind",13/12
2/25/18,W,Z,<NCSt>CrowbarSpine,4298,Acid Plant,HGP,"Some poor bane trades, no extra gas w/ roach warren, SB@50","Denied 3rd, extremely good bane hits",HGP LingBane
2/25/18,W,Z,<TOP15F>Davbande,4653,Acid Plant,LeftGame,,,LeftGame
2/25/18,W,T,<BbTea>HighWings,4514,Blackpink,BioTank,"Drop defense in main, poor injects, some impatient engagements",,BioTank
2/25/18,W,Z,<SCIClan>GojiRo,4275,Blackpink,LingBane -> Roach,"Overlord positioning, more defensive banes, better walloff vs ling runbys",,Heavy LingBane -> Roach
2/25/18,W,Z,OceanMan,4288,Acid Plant,HGP -> LingBane,,"Good trades, modest Roach transition",LingBane HGP
2/25/18,L,Z,Jimmy,4754,Backwater,13/12 Banes,"Not enough banes, poor control",,13/12 Banes
2/25/18,W,P,diaper,4490,Catalyst,Adept ShieldBattery VoidRay,Poor pylon focusing,,Therapy
2/25/18,W,Z,<PATH>Chilleh,4385,Catalyst,GPH -> LingBane,quicker roach warren,Denied 3rd,GPH LingBane
2/25/18,W,T(R),<LXG>twistedsteel,4292,Acid Plant,OvSnipe -> BioTank,more ravagers -> focus fire bunker?,good sim city from opponent,BioTank OvSnipe
2/25/18,W,Z(R),Kakashi,4516,Acid Plant,LeftGame,,,LeftGame
2/25/18,W,Z,IIIIIIII,4472,Acid Plant,LingBane -> RoachRavager,No infestation pit,"RoachRavagerHydra, good pullback from poor engages, multiprong",LingBane RoachRavager
2/25/18,W,Z,LoVe,4551,Blackpink,HGP -> LingBane,No bane anchor,Good droning behind,HGP LingBane
2/25/18,L,T,<Ris3n>Kesai,4618,Eastwatch,BioMine,,,BioMine
2/25/18,L,T,Compactor,4512,Catalyst,Nat block -> BioTank,,,BioTank
2/26/18,L,T,BillyBoy,4609,Catalyst,BioTank,"didn't killl enough workers, didn't drone hard enough, not enough banes",,39DroneRoach
2/26/18,L,P,RozeEagle,4463,Eastwatch,"Robo Immortal, 2 ShieldBattery","Poor focus fire, macro",,ProxyHatch
2/26/18,L,Z(R),Isaiah,4840,Backwater,Muta -> Lurker -> Brood,Didn't scout muta transition,,
2/26/18,W,Z,<PsiX>SnapXD,4240,Backwater,LingBane -> RoachHydra,"Earlier spire, need more ling pressure",,HGP
2/26/18,W,T,<WDAY>teetone,4487,Backwater,Mech HellbatTankThor,"Terrible spending, extremely late lair","Attacked into turtle too many times, no regroup",Mech
2/26/18,W,T,EnemaGiver,4390,Blackpink,Hellions -> Thor drop -> Mech,"More defenses for thor drop, target medivacs",need to focus building command center. Nydus?,Mech ThorDrop
2/27/18,L,Z,ChairmanMaus,4484,Backwater,1/0 Roach push,Went 2 base muta,,RoachPush
2/27/18,W,Z,<ConFed>Broketail,4469,Blackpink,HGP LingBane,Bane morphs too far forward,Good bane connections,HGP
2/27/18,W,P,Nectari,4420,Backwater,"ShieldBattery, Robo",Don't need second gas,,Therapy
2/27/18,L,Z,<nyfe>alan,4431,Acid Plant,2BaseRoach,"Supply block, overdroned","Roach timing while droning, before lurkers",2BaseRoach
2/27/18,L,T,Shuke,???,Catalyst,HellbatBanshee -> HellbatMMM,"No detection at 3rd, too many banes vs Hellbats",,HellbatBanshee Bio
2/27/18,L,P,DeedBack,4457,Backwater,CannonRush,Didn't prevent gateway getting up,M2 smurf,CannonRush
2/27/18,L,Z,<vFam>BassHabit,4472,Catayst,2BaseMuta,Didn't scout muta transition,M2 smurf,2BaseMuta
2/27/18,W,P,TriuMph,4634,Catalyst,"Stalker, Glaivedepts",Didn't catch adept,,Therapy
2/28/18,L,T,<|Next|>ArriS,4646,Catalyst,HellbatCyclone,"Lost early lings, trickled units out",,HellionCyclone Study
3/1/18,W,P,YoReL,4357,Backwater,"PhotonCannon, VoidRay, ShieldBattery",Supply block before 2nd ravager,,Therapy
3/1/18,W,T,PoonGoon,4364,Backwater,HellionDrop -> CloakBanshee -> LibTank,No scout on banshee,"good engages, ultras vs tankline",HellionDrop Banshee Mech
3/1/18,W,P(R),Discovery,4892,Backwater,"VoidRay, Adept, sentry, ShieldBattery",Lost lots of lings in probe fights,"M2 smurf, good 2nd ravager",Therapy
3/1/18,W,Z,<|LiT|>TheGoodOne,4510,Backwater,HGP,better splits for ling fights,"Good splits to target banes, queen",15Hatch Study
3/1/18,W,Z,LightAscent,4262,Backwater,HGP -> 1/0Ling,,"Good splits to target banes, queen",15Hatch
3/1/18,W,T,<nGK>ShoWGaSM,4520,Catalyst,BunkerRush,"Didn't scout bunker rush, pulled drones instead of sac-ing hatch",Need to split for potential multiprong,BunkerRush
3/2/18,L,Z,<pTee>tart,4655,Catalyst,HGP,"Zergling scouted 15hatch, no wraparound",,15Hatch
3/2/18,L,Z,ChairmanMaus,4508,Catalyst,13/12,"Threw away roach/hydra with split, no roach speed",Trying to be too clever - very far ahead all game,13/12 15Hatch
3/2/18,W,Z,MrAlgorithm,4315,Catalyst,HGP,Poor micro vs queens with original 6 lings,,15Hatch
3/2/18,L,T,IIIIIIII,4639,Acid Plant,211,Terrible engage on 4th,,211
3/2/18,W,P,Ender,4408,Catalyst,ProxyGate Zealot -> PhoenixColossus,"Scout colossus, poor lurker positioning",Good abducts on colossus,ProxyGate PhoenixColossus
3/2/18,W,P,babyboggler,4494,Catalyst,Adept Stargate,,Denied Adept,Therapy
3/2/18,W,P,Kronomix,4362,Acid Plant,Zealot Twilight,,,Therapy
3/2/18,W,Z,Box,4586,Acid Plant,0/1 LingBane,Not enough spending,,HGP LingBane
3/2/18,L,T,<TruckU>FMage,4552,Backwater,Hellion -> Lib -> Battlecruiser -> Mech,Poor viper control,Vulnerable to backdoors early,Mech Battlecruiser AbusiveLib
3/2/18,W,T,FirePizza,4904,Blackpink,Hellion -> Hellbat Lib,"Morphed banes late, too far forward, poor spending while under attack",,Mech Hellbat Lib
3/3/18,L,Z,<Rival>DIRESRAIT,4971,Blackpink,2 base 0/1 RoachRavager,"tried to tech instead of mass roaches, poor angles on engages",,RoachRavager
3/3/18,W,T,<IxG>Ward,4600,Catalyst,Hellion -> Banshee -> Mech,"Inefficient bane trades, not enough banes for hellbats & planetary scvs",,Hellion Banshee Mech
3/4/18,L,T,AlwaysHangry,4677,Catalyst,Mech HellbatCyclone,,,HellbatCyclone Mech
3/4/18,L,T,evilo,4575,Acid Plant,Mech HellbatCyclone Banshee,Poor transition to allin,,Mech HellbatCyclone Banshee
3/4/18,W,Z,<VFam>GhostRogue,4531,Blackpink,2BaseMuta,,Canceled Spire@90%,2BaseMuta
3/4/18,L,P,<INK>RorschachINK,4550,Acid Plant,1Base Void Robo ShieldBattery,"Didn't focus probes, not enough queens, didn't expand to other gold",Was actually in OK spot after attack was held,Therapy Extended
3/4/18,L,T,<Flam3s>doncho,4821,Acid Plant,Mech,"SupplyBlock@72, not enough drones, late vipers",,Mech
3/4/18,L,Z,Sorry,4564,Backwater,2BaseNydus,Didn't scout nydus,,2BaseNydus
3/4/18,L,P,MustangGT,4545,Acid Plant,ProxyGate Zealot,"Not enough defenses, tried to macro out",,ProxyGate
3/4/18,W,P,<ylwazn>YellowWeenie,4605,Backwater,Robo Zealot,,,Therapy
3/4/18,W,P,<Maaate>Joe,4608,Backwater,Zealot Adept,Didn't ferry roaches into base,,Therapy
3/4/18,L,T,IIIIIIII (CarbotZergling),4712,Backwater,1/0 HellbatCyclone,,,1/0 HellbatCyclone
3/4/18,W,P,MarkOhFive,4562,Catalyst,,,,Therapy
3/4/18,W,P,Gumpy,???,Catalyst,,,,Therapy
3/4/18,W,Z,IIIFenriRIII,4469,Backwater,GPH -> LingFlood -> Roaches,,Sniped hatch,GPH
3/4/18,L,Z,Gallory,4630,Backwater,RoachRavager,"Slow to drone behind attacks, overextended attack, lost 16 drones to bane runby",,HGP LingBane
3/4/18,W,Z,TenaciousDG,4584,Acid Plant,RoachRavagerHydra,"Didn't scout bane drops, roach splits",,RoachRavager Hydra
3/4/18,W,P,HeartOfHope,4520,Backwater,Oracle Adept ShieldBattery,,,
3/4/18,L,T,PureTearS,4444,Acid Plant,Hellion -> BioTank,"Really low drone count, poor push into 4th, late 4th",,BioTank
3/4/18,W,P,<iMmsV>OwNaGe,4729,Catalyst,Adept ShieldBattery Robo,,,Therapy
3/4/18,W,T,sweetbunny,4373,Backwater,LeftGame,,,LeftGame
3/4/18,L,P,<SttE>DiViNe,4771,Catalyst,Robo Stalker ShieldBattery,Scouted proxy hatch,,Therapy Proxyhatch
3/4/18,L,T,XuiruG,4471,Blackpink,BioTank,"Bad attack angles, no surround, poor spending, Supply Blocks",,BioTank
3/4/18,W,P,<cloudM>GlueSniffer',4758,Acid Plant,Adept Phoenix,"Lost overlord to phoenix, late 44 overlord",,Therapy
3/4/18,L,Z,<Ash3s>FisterRoboto,4641,Catalyst,LingBane,Poor bane vs bane trades,,LingBane
3/4/18,L,P,Furious,4631,Blackpink,CannonRush -> Warp Prism Immortal,should have macroed out,,CannonRush
3/4/18,L,Z,MessiThePuta,4433,Backwater,13/12 12ling,mismicro drones,,13/12 Ling
3/4/18,W,Z,Fog,4459,Catalyst,2BaseRoach,"SB@82, overlord scouting, overseers",Out-macroed off 3 hatch,2BaseRoach
3/4/18,L,Z,Deezer,4543,Catalyst,13/12 Bane,"Lings out of position, late queen @ nat",,13/12 Bane
3/4/18,W,P,<CBDThc>PureIndica,4624,Acid Plant,Adept Stargate Oracle,Allowed Adepts in,,Therapy
3/4/18,W,Z,TheGoodOne,4559,Backwater,HGP,Better multitasking between roaches/lingbane,,HGP
3/4/18,W,Z,WiseWindu,4185,Acid Plant,HGP -> Roaches,"poor mineral spending, SB@50",Denied 3rd twice,HGP
3/5/18,L,Z,Vachalait,4729,Acid Plant,LingBane,Everything,,HGP
3/5/18,W,T,<FxB>Biscuits,4548,Acid Plant,BioTank,Didn't split for multiprong well,"Strong ZvT, Good patience",BioTank
3/5/18,W,T,SuicideMarin,4571,Backwater,1Base HellbatMarine? -> Mech,Terrible engages into turtle,Engaging without vipers,1BaseHellbatMarine Mech
3/5/18,W,P,<EXEED>cosima,4412,Blackpink,TwilightRobo,,,Therapy
3/5/18,L,P,<MIT>FAir,4877,Backwater,"VoidRay, ShieldBattery, Sentry","Scouted allin, held w/4 shield batteries",,Therapy
3/5/18,W,P,<FxB>Vedeynevin,4409,Acid Plant,"PhotonCannon, Adept, Sentry","Hid Hatchery, Lost ravager and lings to cannon",Awful execution,Therapy
3/5/18,W,T,<FxB>Biscuits,4524,Blackpink,Hellions -> BioTank,"SupplyBlocks, poor baneling connections for first fight, problems spending $$$ (injects?)",Denies creep w/ 6hellions,BioTank
3/6/18,W,Z(R),SaviOr,4585,Blackpink,HGP LingBane,,,HGP
3/6/18,W,P(R),<PSU>MaOBird,4621,Blackpink,Adept Oracle,,Good probe movement from opponent,Therapy
3/7/18,L,T,IIIIIIII(Medic),5027,Catalyst,,,,
3/8/18,W,Z,<Alllin>BoO,4597,Blackpink,HGP -> RoachRavager,,,RoachRavager
3/8/18,L,P,Moros,4381,Blackpink,SentryImmortal,,Tried playing standard,SentryImmortal Standard HatchBlock
3/8/18,W,P,Moros,4381,Backwater,CannonRush -> Greed,"Didn't pull enough drones for cannons, targeted wrong cannons",No followup scout from opponent,CannonRush
3/8/18,L,T,FinalExams,???,Blackpink,Hellion -> HellionCyclone,Didn't scout followup push,4.9k Protoss,HellionCyclone Mech
3/8/18,L,T,IIIIIIII(Raynor),???,Blackpink,BioTank,"Poor muliprong management, not enough spending",,BioTank
3/8/18,L,P,<NwAs>IIIIIIII,4864,Acid Plant,,,,
3/8/18,L,P,IIIIIIII,4511,Acid Plant,ProxyGate CannonRush,,,
3/8/18,W,T,<DuSt>LovE,4630,Acid Plant,TurtleMech,"Upgrades, spines, viper control",,TurtleMech
3/10/18,L,T,<FxB>LastSurprise,4428,Acid Plant,BioTank,"Poor engagements, didn't put back into gas @36",,BioTank
3/10/18,L,T,<FxB>Biscuits,4562,Acid Plant,ThorDrop Mech,"Late Vipers, supply block@82 (right before attack), no spines for hellion runbys",,Mech
3/10/18,W,T,Sasuke,4620,Acid Plant,BattleMech,"Poor trades into fortifications, not enough vipers",,Mech Battlemech
3/10/18,W,Z,<AsTo>HeldErN,4347,Blackpink,2BaseMuta,Didn't scout mutas -> no lings got in base,"Opponent threw away mutas on 2 spores, denied 3rd, good roach transition",2BaseMuta
3/10/18,L,T,<snsitv>nicklePie,4487,Catalyst,Mech,Lost tons of drones to hellion runbys,,Mech Hellions
3/11/18,W,Z,RawMackeral,4384,Acid Plant,HGP LingBane,Patience pushing into main,No 3rd from opponent,HGP  LingBane
3/11/18,W,T,<PSISTC>drunkenfuryz,4644,Backwater,MassCloakedBanshee -> HellionRunby Mech,"not enough spores@main, supply blocks due to viking","Good multiprong (ling runby, swarmhosts), mutas not useful",MassCloakedBanshee Mech
3/11/18,W,Z,<vG0D>FinalChapter,4564,Catalyst,GPH LingBane late 3rd,float 1k mins -> spend on gas/roach transition,,GPH LingBane
3/11/18,L,Z,<PolyG>TRaFFiC,4699,Catalyst,13/12 LingsBeforeQueen (2:00),"Lost too many drones, spine, don't need banes",Need spine on low ground -> guarded by 3 drones + lings,"13/12 LingsBeforeQueen, Banes"
3/11/18,W,P,Nis,???,Catalyst,ProxyDarkShrine HatchBlock,didn't scout dark shrine,Bronze League Smurf,ProxyDarkShrine
3/11/18,W,T,<FiFo>CrackFurtado,4494,Backwater,Turtle Mech,"Hydras into choke, no spines for hellion runby","Denied 5th, good viper count",TurtleMech Mech
3/11/18,L,T,IcedCake,4973,Blackpink,HellionCyclone,"Late banes, inefficient trades",,HellionCyclone Mech
3/11/18,L,T,Thaniri,4669,Catalyst,211 BioTank,"Poor multiprong management, late gas",,BioTank 211
3/11/18,W,T,IIIIIIII (Kachinsky),???,Backwater,HellionCyclone,Lost lots of lings to hellions,,RoachAllin HellionCyclone
3/11/18,L,P,<PsiX>Jettorix,4998,Blackpink,"Stalker, Void, ShieldBattery",,,Therapy
3/11/18,W,Z,Pan,4520,Catalyst,HGP LingBane,Poor unit control,Opponent tried to go Liar/Roaches,HGP LingBane
3/11/18,W,P,Dimico,4558,Blackpink,Oracle Adept Twilight HatchBlock,Roaches bottlenecked,,Therapy HatchBlock
3/11/18,W,T,Mark,3956,Backwater,Mech,"Lost lots of lings to hellions, late vipers",,Mech
3/11/18,W,P,<Yikes>Dain,4574,Catalyst,"Zealot Adept pushout, Void, ShieldBattery","Didn't surround adepts, roaches bottlenecked",,2Adept Zealot Therapy
3/11/18,W,Z,Wichi,4561,Backwater,HGP LingBane,"Missed injects, could micro better",,HGP LingBane
3/11/18,L,Z,HankHill,4674,Backwater,HGP -> Muta -> Lurker,"Went for roach push, not hydra",,HGP -> Muta -> Lurker
3/11/18,W,Z,penduloSFX,4696,Blackpink,HGP -> Muta,,Used Nydus to build past 2 bases,HGP -> Turtle -> Muta MASTERS3PROMO promo
